item_id	module	type	ru_text	en_text_draft	ru_option_a	en_option_a_draft	ru_option_b	en_option_b_draft	review_status	source_note
SAT01	SAT24	likert	В несексуальной ситуации объятие близкого мне человека обычно вызывает у меня положительный эмоциональный отклик.	In a nonsexual situation, a hug from someone close to me usually evokes a positive emotional response.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT02	SAT24	likert	Даже прикосновение одного и того же человека может ощущаться для меня по-разному в зависимости от ситуации, в которой оно происходит.	Even touch from the same person can feel different to me depending on the situation in which it occurs.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT03	SAT24	likert	Прикосновение другого человека может ощущаться для меня не только в месте контакта, но и как изменение общего состояния тела.	Another person’s touch can feel to me not only at the point of contact, but also as a change in my body’s overall state.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT04	SAT24	likert	Даже если определённое прикосновение обычно для меня приемлемо, отсутствие предупреждения может сделать такой контакт телесно менее комфортным.	Even if a particular kind of touch is usually acceptable to me, being touched without warning can make the contact feel physically less comfortable.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT05	SAT24	likert	После напряжённого момента мягкое прикосновение близкого человека обычно помогает мне эмоционально успокоиться.	After a tense moment, gentle touch from someone close to me usually helps me calm down emotionally.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT06	SAT24	likert	Одинаковое по форме прикосновение может ощущаться для меня совершенно по-разному в зависимости от того, кто именно меня касается.	The same kind of touch can feel completely different to me depending on who is touching me.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT07	SAT24	likert	Доброжелательное социальное прикосновение иногда вызывает у моего тела заметную непосредственную реакцию ещё до того, как я успеваю подробно оценить сам жест.	Friendly social touch sometimes produces a noticeable immediate reaction in my body before I have time to evaluate the gesture in detail.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT08	SAT24	likert	Даже лёгкое прикосновение может стать для меня телесно некомфортным, если человек касается участка тела, который для характера наших отношений ощущается слишком личным.	Even light touch can become physically uncomfortable for me if someone touches an area of my body that feels too personal for the nature of our relationship.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT09	SAT24	likert	Если приветственное прикосновение обычно для наших отношений, оно всё равно может иметь для меня собственную эмоциональную значимость.	Even when a greeting touch is usual in our relationship, it can still carry its own emotional significance for me.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT10	SAT24	likert	Одно и то же дружеское прикосновение может ощущаться для меня по-разному в зависимости от того, происходит оно наедине или в присутствии других людей.	The same friendly touch can feel different to me depending on whether it happens in private or in the presence of other people.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT11	SAT24	likert	После тёплого несексуального объятия я обычно ощущаю заметное изменение состояния собственного тела.	After a warm, nonsexual hug, I usually notice a distinct change in the state of my body.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT12	SAT24	likert	Прикосновение малознакомого человека может оставаться для меня телесно некомфортным, даже если я понимаю, что у него нет плохого намерения.	Touch from someone I do not know well can remain physically uncomfortable for me even when I understand that the person has no harmful intent.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT13	SAT24	likert	В тёплом общении прикосновение может добавлять для меня эмоциональную значимость, которой одни слова не дают.	In a warm interaction, touch can add emotional significance for me that words alone do not provide.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT14	SAT24	likert	Прикосновение близкого друга и похожее прикосновение малознакомого человека обычно вызывают у меня различный телесный отклик.	Touch from a close friend and similar touch from someone I barely know usually produce different bodily responses in me.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT15	SAT24	likert	При дружеском или поддерживающем прикосновении у меня иногда заметно меняется дыхание, мышечный тонус или другое состояние тела.	During friendly or supportive touch, I sometimes notice a clear change in my breathing, muscle tone, or another aspect of my bodily state.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT16	SAT24	likert	Прикосновение человека, с которым у меня нет близких отношений, нередко вызывает у меня телесное напряжение, даже если само прикосновение краткое и нейтральное.	Touch from someone with whom I do not have a close relationship often creates bodily tension in me, even when the touch itself is brief and neutral.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT17	SAT24	likert	Когда близкий человек меня поддерживает, его прикосновение само по себе обычно добавляет мне ощущение эмоциональной поддержки.	When someone close to me is supporting me, their touch itself usually adds to my sense of emotional support.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT18	SAT24	likert	Моя реакция на прикосновение заметно зависит от того, какой смысл я воспринимаю в этом жесте — например приветствие, поддержку или привлечение внимания.	My response to touch depends noticeably on the meaning I perceive in the gesture—for example, greeting, support, or getting my attention.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT19	SAT24	likert	После эмоционально значимого прикосновения телесное ощущение от него иногда сохраняется у меня ещё некоторое время после окончания контакта.	After emotionally significant touch, the bodily sensation from it sometimes remains with me for a while after the contact has ended.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT20	SAT24	likert	Когда человек в обычном разговоре касается меня чаще, чем мне комфортно, я начинаю телесно ощущать желание увеличить дистанцию.	When someone touches me more often than feels comfortable during an ordinary conversation, I begin to feel a bodily urge to increase the distance.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT21	SAT24	likert	В обычном несексуальном общении короткое прикосновение человека, с которым у меня хорошие отношения, может сделать взаимодействие для меня эмоционально теплее.	In ordinary nonsexual interaction, a brief touch from someone with whom I have a good relationship can make the interaction feel emotionally warmer to me.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT22	SAT24	likert	Степень эмоциональной близости с человеком заметно меняет то, как я переживаю его прикосновение.	The degree of emotional closeness I have with someone noticeably changes how I experience their touch.					DRAFT / SEMANTIC AUDIT REQUIRED	
