id	module	type	text	optionA	optionB
SAT01	SAT24	likert	В несексуальной ситуации объятие близкого мне человека обычно вызывает у меня положительный эмоциональный отклик.		
SAT02	SAT24	likert	Даже прикосновение одного и того же человека может ощущаться для меня по-разному в зависимости от ситуации, в которой оно происходит.		
SAT03	SAT24	likert	Прикосновение другого человека может ощущаться для меня не только в месте контакта, но и как изменение общего состояния тела.		
SAT04	SAT24	likert	Даже если определённое прикосновение обычно для меня приемлемо, отсутствие предупреждения может сделать такой контакт телесно менее комфортным.		
SAT05	SAT24	likert	После напряжённого момента мягкое прикосновение близкого человека обычно помогает мне эмоционально успокоиться.		
SAT06	SAT24	likert	Одинаковое по форме прикосновение может ощущаться для меня совершенно по-разному в зависимости от того, кто именно меня касается.		
SAT07	SAT24	likert	Доброжелательное социальное прикосновение иногда вызывает у моего тела заметную непосредственную реакцию ещё до того, как я успеваю подробно оценить сам жест.		
SAT08	SAT24	likert	Даже лёгкое прикосновение может стать для меня телесно некомфортным, если человек касается участка тела, который для характера наших отношений ощущается слишком личным.		
SAT09	SAT24	likert	Если приветственное прикосновение обычно для наших отношений, оно всё равно может иметь для меня собственную эмоциональную значимость.		
SAT10	SAT24	likert	Одно и то же дружеское прикосновение может ощущаться для меня по-разному в зависимости от того, происходит оно наедине или в присутствии других людей.		
SAT11	SAT24	likert	После тёплого несексуального объятия я обычно ощущаю заметное изменение состояния собственного тела.		
SAT12	SAT24	likert	Прикосновение малознакомого человека может оставаться для меня телесно некомфортным, даже если я понимаю, что у него нет плохого намерения.		
SAT13	SAT24	likert	В тёплом общении прикосновение может добавлять для меня эмоциональную значимость, которой одни слова не дают.		
SAT14	SAT24	likert	Прикосновение близкого друга и похожее прикосновение малознакомого человека обычно вызывают у меня различный телесный отклик.		
SAT15	SAT24	likert	При дружеском или поддерживающем прикосновении у меня иногда заметно меняется дыхание, мышечный тонус или другое состояние тела.		
SAT16	SAT24	likert	Прикосновение человека, с которым у меня нет близких отношений, нередко вызывает у меня телесное напряжение, даже если само прикосновение краткое и нейтральное.		
SAT17	SAT24	likert	Когда близкий человек меня поддерживает, его прикосновение само по себе обычно добавляет мне ощущение эмоциональной поддержки.		
SAT18	SAT24	likert	Моя реакция на прикосновение заметно зависит от того, какой смысл я воспринимаю в этом жесте — например приветствие, поддержку или привлечение внимания.		
SAT19	SAT24	likert	После эмоционально значимого прикосновения телесное ощущение от него иногда сохраняется у меня ещё некоторое время после окончания контакта.		
SAT20	SAT24	likert	Когда человек в обычном разговоре касается меня чаще, чем мне комфортно, я начинаю телесно ощущать желание увеличить дистанцию.		
SAT21	SAT24	likert	В обычном несексуальном общении короткое прикосновение человека, с которым у меня хорошие отношения, может сделать взаимодействие для меня эмоционально теплее.		
SAT22	SAT24	likert	Степень эмоциональной близости с человеком заметно меняет то, как я переживаю его прикосновение.		
SAT23	SAT24	likert	Даже небольшое доброжелательное прикосновение иногда вызывает у меня заметное телесное изменение — например тепло, расслабление или изменение общего тонуса.		
SAT24	SAT24	likert	Неподходящее для меня прикосновение часто вызывает телесную реакцию раньше, чем я успеваю сформулировать, почему оно мне не подходит.		
Q01	P72	likert	Когда я замечал(а) визуальную гармонию или красоту тела, моё внимание часто переходило от простого любования к эротическому интересу.		
Q02	P72	likert	Мне было важно не только видеть желание партнёра, но и чувствовать, что мы вместе формируем то, как смотрим друг на друга и создаём атмосферу.		
Q03	P72	likert	Без реальных телесных или сенсорных сигналов даже привлекательный визуальный образ иногда оставался для меня неполным.		
Q04	P72	likert	Меня захватывало не столько удачно зафиксированное положение, сколько то, как сама форма менялась в движении.		
Q05	P72	likert	Предвкушение ещё не исследованной вариации само по себе удерживало моё внимание и интерес.		
Q06	P72	likert	Знакомый мне образ всё равно мог сильно притягивать, если в нём сохранялись масштаб, контраст или мощная выразительность.		
Q07	P72	likert	Одна характерная деталь тела могла удерживать моё внимание независимо от того, насколько идеальным был общий силуэт.		
Q08	P72	likert	Слишком нейтральная или сдержанная подача часто уменьшала силу моего впечатления, даже если сам образ был новым.		
Q09	P72	likert	Когда визуальная красота оставалась для меня только красивой и не переходила в телесный отклик, моё эротическое вовлечение часто ощущалось неполным.		
Q10	P72	likert	Один и тот же человек мог восприниматься мной заметно по-разному в зависимости от света, ракурса, фона или качества видимости.		
Q11	P72	likert	Для усиления моего желания было важно прежде всего почувствовать реальный отклик партнёра, даже если мы не создавали вместе особую визуальную атмосферу.		
Q12	P72	likert	Я мог(ла) подолгу удерживать внимание на гармонии формы тела просто потому, что она казалась мне красивой.		
Q13	P72	likert	Искреннее желание, удовольствие или эмоциональная включённость партнёра могли сами по себе усиливать моё собственное возбуждение.		
Q14	P72	likert	Моё внимание легко следовало за тем, как при движении меняются линии, напряжение, баланс и объёмы тела.		
Q15	P72	likert	Поверхность и объём тела удерживали моё внимание не только визуально: я мысленно как будто ощущал(а), какими они были бы на ощупь.		
Q16	P72	likert	Сильный контраст, масштаб, подчёркнутая форма или необычная выразительность могли мгновенно усиливать моё притяжение.		
Q17	P72	likert	Одностороннее рассматривание без ощущения совместности могло обеднять мой опыт, даже при явной взаимной симпатии или желании.		
Q18	P72	likert	Когда зрительный образ не вызывал у меня никакого ощущения фактуры или телесности, он становился заметно менее живым и вовлекающим.		
Q19	P72	likert	Когда несколько чувств включались одновременно, моё внимание сильнее погружалось в человека, чем при одном зрительном впечатлении.		
Q20	P72	likert	Красота линии, силуэта или жеста могла сама по себе вызывать у меня эстетическое восхищение, даже если я не хотел(а) развивать это в сексуальную сторону.		
Q21	P72	likert	Новый образ, ракурс, вариация или сценарий могли быстро вернуть моё внимание к уже знакомому человеку.		
Q22	P72	likert	То, как тело было показано в пространстве и освещении, нередко становилось центральной частью моего визуального впечатления.		
Q23	P72	likert	Бывало, что я ясно ценил(а) красоту тела как эстетическое переживание, хотя телесного возбуждения в этот момент почти не было.		
Q24	P72	likert	Когда визуальный образ создавался нами вместе, сам обмен взглядами и реакциями мог стать центральной частью моего внимания.		
Q25	P72	likert	Для моего возбуждения имел значение именно переход от увиденной красоты к телесному желанию, а не только факт, что я считал(а) человека красивым.		
Q26	P72	likert	При первом впечатлении я часто сразу считывал(а) общую архитектуру тела - силуэт, пропорции, линии и баланс объёмов.		
Q27	P72	likert	Долгое повторение без заметной вариативности обычно снижало мою вовлечённость.		
Q28	P72	likert	Чтобы ощущение стало по-настоящему телесным, мне часто было важно получить реальный сенсорный отклик, а не только представить его по виду.		
Q29	P72	likert	Жест, поворот или переход между позами мог сразу сделать тело для меня выразительнее, чем в неподвижном состоянии.		
Q30	P72	likert	Даже привлекательные детали теряли часть силы, если общий силуэт или соотношение объёмов казались мне несобранными.		
Q31	P72	likert	Во время эротического вовлечения я естественно замечал(а) отклик партнёра, и он становился частью того, что удерживало мой интерес.		
Q32	P72	likert	Взаимный взгляд и совместное изменение позы, света или атмосферы могли сами становиться источником эротического вовлечения.		
Q33	P72	likert	Отдельные особенности - рельеф, переходы, контуры или небольшие анатомические детали - сами привлекали моё внимание.		
Q34	P72	likert	Я мог(ла) получить почти осязательное впечатление от тела только через взгляд, даже когда реального прикосновения не было и оно не требовалось.		
Q35	P72	likert	Даже без движения смена света, ракурса или композиции могла существенно изменить силу моего впечатления.		
Q36	P72	likert	Когда я видел(а) только неподвижный образ, мне иногда не хватало именно пластики движения, чтобы впечатление стало полноценным.		
Q37	P72	likert	Цельное сочетание форм удерживало моё внимание сильнее, чем любой один отдельный признак.		
Q38	P72	likert	Реальные ощущения - прикосновение, температура, запах, голос или дыхание рядом - могли заметно усиливать моё визуальное и эротическое вовлечение.		
Q39	P72	likert	Если индивидуальный рельеф и характерные детали становились визуально нейтральными или незаметными, моё впечатление теряло часть интереса.		
Q40	P72	likert	Неудачный свет, ракурс или визуальный хаос могли заметно уменьшить моё вовлечение, даже если сама форма тела мне нравилась.		
Q41	P72	likert	Даже в неподвижном образе я прежде всего воспринимал(а), как линии и объёмы складываются в единую композицию.		
Q42	P72	likert	Визуально красивый образ тела мог сам по себе быстро запускать у меня телесное возбуждение ещё до прикосновения или явного отклика партнёра.		
Q43	P72	likert	Когда я не находил(а) образ эстетически красивым, часть моего вовлечения терялась, даже если сексуальное желание или личная симпатия сохранялись.		
Q44	P72	likert	Одного взгляда на кожу, изгиб или рельеф иногда было достаточно, чтобы почти почувствовать их фактуру, тепло или плотность.		
Q45	P72	likert	Даже небольшая и неяркая новизна могла оживить мой интерес, не требуя сильного контраста или интенсивности.		
Q46	P72	likert	Я мог(ла) получать сильное впечатление от конкретной детали, даже когда общий силуэт не казался мне особенно выдающимся.		
Q47	P72	likert	При отсутствии явного эмоционального или эротического отклика со стороны партнёра моё вовлечение часто становилось менее глубоким, даже если визуально человек оставался привлекательным.		
Q48	P72	likert	Ярко выраженные формы или контрасты могли доминировать в моём внимании, даже если я видел(а) их уже не впервые.		
Q49	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Чтобы внимание захватывала тонкая индивидуальная деталь или переход формы.	Чтобы внимание захватывала сильная, масштабная или контрастная выразительность.
Q50	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Чтобы выразительность раскрывалась в изменении формы во времени.	Чтобы особенно сильно работала цельная архитектура силуэта и пропорций.
Q51	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? интенсивности.	Чтобы особенно действовала мощная, подчёркнутая выразительность формы.	Чтобы красота и гармония формы были ценны сами по себе, даже без высокой
Q52	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Получать новый импульс от смены образа, вариации или сценария.	Чтобы сила впечатления зависела от точного света, ракурса и композиции.
Q53	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? обычный.	Замечать и удерживать внимание на индивидуальной детали, даже если общий силуэт	Считывать цельную композицию тела, даже если отдельные детали не выделяются.
Q54	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Получать почти осязательное ощущение поверхности уже через взгляд.	Считывать, как форма тела оживает и меняется в жесте и движении.
Q55	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? присутствия партнёра. интенсивности.	Чтобы вовлечение становилось глубже от видимого удовольствия и личного	Чтобы притяжение усиливалось от масштаба, контраста и выразительной
Q56	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Чтобы качество света, ракурса и пространства определяло силу визуального момента.	Чтобы главное изменение впечатления происходило через жест, поворот и движение.
Q57	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Наблюдать превращение линий и объёмов в движении.	Вместе формировать визуальную атмосферу через взаимный взгляд, позу и реакцию.
Q58	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Чтобы увиденная красота сама запускала эротический телесный отклик.	Чтобы взгляд почти давал ощущение фактуры, объёма и прикосновения.
Q59	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Воспринимать баланс всего силуэта и соотношение объёмов.	Почти телесно чувствовать поверхность и объём уже по визуальному образу.
Q60	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Получать квазитактильное ощущение только через взгляд, без реального контакта.	Получать полноту именно от реальных сенсорных сигналов, добавленных к зрению.
Q61	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? полноценным. видимость.	Чтобы реальное присутствие других ощущений делало визуальное впечатление	Чтобы решающее значение имела визуальная постановка - свет, ракурс, фон и
Q62	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Участвовать вдвоём в том, как создаётся визуальный и чувственный момент.	Открывать новую вариацию или ракурс, который снова оживляет интерес.
Q63	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Считывать тело прежде всего как цельную систему линий, пропорций и объёмов.	Переживать красоту тела как самостоятельную эстетическую ценность.
